log_date,trip_name,dest,days_to_depart,status,offers_any,offers_nonstop,min_price_any,min_flights_any,min_price_nonstop,min_flights_nonstop,unpriced,note,log_ts_utc
2026-08-11,CNY-2027-before,AKJ,172,NO_RESULT,0,0,,,,,0,,2026-08-10 22:59:34
2026-08-11,CNY-2027-before,HKD,172,OK,8,0,5321,NH812>NH559,,,0,2 offers dropped by whitelist,2026-08-10 22:59:34
2026-08-11,CNY-2027-after,TYO,179,OK,22,22,4779,UO650,4779,UO650,4,,2026-08-10 22:59:34
2026-08-11,CNY-2027-after,SDJ,179,OK,1,1,7739,UO890,7739,UO890,0,,2026-08-10 22:59:34
2026-08-11,CNY-2027-after,CTS,179,OK,8,4,8442,KE2006>KE769,14286,HB880,4,2 offers dropped by whitelist,2026-08-10 22:59:34
2026-08-11,CNY-2027-after,AKJ,179,NO_RESULT,0,0,,,,,0,,2026-08-10 22:59:34
2026-08-11,CNY-2027-after,HKD,179,OK,7,0,9088,NH860>NH553,,,0,2 offers dropped by whitelist,2026-08-10 22:59:34
2026-08-12,XMAS-2026,TYO,130,OK,22,22,4409,UO652,4409,UO652,4,,2026-08-11 23:07:31
2026-08-12,XMAS-2026,SDJ,130,OK,1,1,5499,UO890,5499,UO890,0,,2026-08-11 23:07:31
2026-08-12,XMAS-2026,CTS,130,OK,8,5,8114,HB2886,8114,HB2886,4,2 offers dropped by whitelist,2026-08-11 23:07:31
2026-08-12,XMAS-2026,AKJ,130,NO_RESULT,0,0,,,,,0,,2026-08-11 23:07:31
2026-08-12,XMAS-2026,HKD,130,NO_RESULT,0,0,,,,,0,,2026-08-11 23:07:31
2026-08-12,CNY-2027-before,TYO,171,OK,22,22,3139,UO624,3139,UO624,4,,2026-08-11 23:07:31
2026-08-12,CNY-2027-before,SDJ,171,OK,1,1,3119,UO890,3119,UO890,0,,2026-08-11 23:07:31
2026-08-12,CNY-2027-before,CTS,171,OK,11,4,5204,HB880,5204,HB880,4,2 offers dropped by whitelist,2026-08-11 23:07:31
2026-08-12,CNY-2027-before,AKJ,171,NO_RESULT,0,0,,,,,0,,2026-08-11 23:07:31
2026-08-12,CNY-2027-before,HKD,171,OK,9,0,5286,NH812>NH559,,,0,2 offers dropped by whitelist,2026-08-11 23:07:31
2026-08-12,CNY-2027-after,TYO,178,OK,22,22,4779,UO650,4779,UO650,4,,2026-08-11 23:07:31
2026-08-12,CNY-2027-after,SDJ,178,OK,1,1,7289,UO890,7289,UO890,0,,2026-08-11 23:07:31
2026-08-12,CNY-2027-after,CTS,178,OK,9,4,7843,JL26>JL501,14284,HB880,4,2 offers dropped by whitelist,2026-08-11 23:07:31
2026-08-12,CNY-2027-after,AKJ,178,NO_RESULT,0,0,,,,,0,,2026-08-11 23:07:31
2026-08-12,CNY-2027-after,HKD,178,OK,7,0,9086,NH860>NH553,,,0,2 offers dropped by whitelist,2026-08-11 23:07:31
